ctb_id,inferred_domain,inferred_institution,analyst_rows
10333,barclays.com,barclays,50
6,gs.com,gs,48
138,jefferies.com,jefferies,48
47,db.com,db,46
178117,cfraresearch.com,cfraresearch,45
4614,jpmorgan.com,jpmorgan,44
2975,morganstanley.com,morganstanley,41
2182,rbccm.com,rbccm,36
38750,redburnatlantic.com,redburnatlantic,35
60797,morningstar.com,morningstar,31
9584,argusresearch.com,argusresearch,30
85,tdsecurities.com,tdsecurities,25
62195,evercoreisi.com,evercoreisi,24
2233,uk.bnpparibas.com,uk,24
43418,wolferesearch.com,wolferesearch,24
194556,equisights.com,equisights,23
6872,bernsteinsg.com,bernsteinsg,22
2690,raymondjames.com,raymondjames,22
358,us.hsbc.com,us,22
954,opco.com,opco,22
20783,cicc.com.cn,cicc,21
18658,dzbank.de,dzbank,21
3202,,,20
2,bofa.com,bofa,20
7671,wellsfargo.com,wellsfargo,19
2691,psc.com,psc,19
63807,ubs.com,ubs,19
63721,citi.com,citi,19
35539,arete.net,arete,18
12336,key.com,key,17
4570,kbw.com,kbw,17
33362,keplercheuvreux.com,keplercheuvreux,17
126605,,,16
10924,rwbaird.com,rwbaird,15
61498,crispidea.com,crispidea,15
11266,williamblair.com,williamblair,15
148183,fbroker.kz,fbroker,14
57329,daybyday-pro.com,daybyday-pro,14
4104,bmo.com,bmo,13
5698,cantor.com,cantor,13
5179,truist.com,truist,13
59786,seaportrp.com,seaportrp,12
10877,kgi.com,kgi,12
61910,mizuhogroup.com,mizuhogroup,12
17304,citizensbank.com,citizensbank,12
216858,,,12
120252,rblt.com,rblt,11
110,needhamco.com,needhamco,11
12796,oddo-bhf.com,oddo-bhf,11
27363,kbw.com,kbw,11
158,dadco.com,dadco,10
31149,stonex.com,stonex,10
117104,tigressfp.com,tigressfp,9
60474,htisec.com,htisec,9
111984,moffettnathanson.com,moffettnathanson,8
60471,daishin.com,daishin,8
49781,mchny.com,mchny,8
12605,loopcapital.com,loopcapital,8
150887,meliusresearch.com,meliusresearch,8
83242,htsc.com,htsc,8
60468,kiwoom.com,kiwoom,8
170823,,,8
62598,guggenheimpartners.c,guggenheimpartners,8
22972,sig.com,sig,8
60372,accountabilityresearch.com,accountabilityresearch,7
78,wedbush.com,wedbush,7
22919,hanwha.com,hanwha,7
7821,berenberg.com,berenberg,7
60465,lbbw.de,lbbw,7
35004,guosen.com.cn,guosen,6
81441,cmbi.com.hk,cmbi,6
82,scotiabank.com,scotiabank,6
134810,chinarenaissance.com,chinarenaissance,6
10642,cgf.com,cgf,6
39772,shorecap.co.uk,shorecap,6
32963,intesasanpaolo.com,intesasanpaolo,6
204276,aletheia-capital.com,aletheia-capital,5
107,stifel.com,stifel,5
60410,cmschina.com.hk,cmschina,5
15154,kbfg.com,kbfg,5
69,roth.com,roth,5
10922,gruposantander.com,gruposantander,5
30477,ebscn.com,ebscn,4
17150,nhsec.com,nhsec,4
5169,miraeasset.com,miraeasset,4
107587,summitinsightsgroup.com,summitinsightsgroup,4
60962,pvtl.com,pvtl,4
2843,clsa.com,clsa,3
35228,gjzq.com.cn,gjzq,3
30219,hanafn.com,hanafn,3
18026,itaubba.com,itaubba,3
155953,huberresearch.com,huberresearch,3
63528,charterequityresearch.com,charterequityresearch,3
6195,metzler.com,metzler,3
22991,maximgrp.com,maximgrp,2
133525,dwzq.com.cn,dwzq,2
102322,bocomgroup.com,bocomgroup,2
5168,samsung.com,samsung,2
2701,stephens.com,stephens,2
25188,northlandcapitalmarkets.co,northlandcapitalmarkets,2
61553,btig.com,btig,2
63952,compasspointllc.com,compasspointllc,2
212759,clearstreet.io,clearstreet,2
40027,cavendish.com,cavendish,2
7042,investec.com,investec,2
20579,warburg-research.com,warburg-research,2
16705,kbcsecurities.be,kbcsecurities,2
12981,cic.fr,cic,2
20304,ing.com,ing,2
27967,peelhunt.com,peelhunt,2
3732,griffinsecurities.co,griffinsecurities,1
25134,shinyoung.com,shinyoung,1
123617,elazarllc.com,elazarllc,1
21613,craig-hallum.com,craig-hallum,1
101198,telseygroup.com,telseygroup,1
60577,fbnsecurities.com,fbnsecurities,1
5219,macquarie.com,macquarie,1
2341,brileyfin.com,brileyfin,1
3802,hcwresearch.com,hcwresearch,1
183383,ustigersecurities.com,ustigersecurities,1
128016,zeuscapital.co.uk,zeuscapital,1
62340,,,1
19070,dbs.com,dbs,1
31647,zkb.ch,zkb,1
10255,degroofpetercam.com,degroofpetercam,1
78658,hk.mizuho-sc.com,hk,1
99974,baaderbank.de,baaderbank,1
8707,bancsabadell.com,bancsabadell,1
29885,op.fi,op,1
7638,danskebank.com,danskebank,1
5587,handelsbanken.se,handelsbanken,1
21348,nordea.com,nordea,1
1013,abgsc.se,abgsc,1
30291,dnbcarnegie.se,dnbcarnegie,1
