name,aliases,segment,country,domain
St. James's Place,SJP|St James's Place|St. James's Place plc,Wealth manager,United Kingdom,sjp.co.uk
Schroders,Schroders plc|Schroder Investment Management,Wealth manager,United Kingdom,schroders.com
Rathbones,Rathbones Group|Rathbone Brothers,Wealth manager,United Kingdom,rathbones.com
Quilter,Quilter plc|Quilter Cheviot,Wealth manager,United Kingdom,quilter.com
abrdn,Aberdeen|Aberdeen Standard|Standard Life Aberdeen,Wealth manager,United Kingdom,abrdn.com
Brewin Dolphin,RBC Brewin Dolphin,Wealth manager,United Kingdom,brewin.co.uk
Evelyn Partners,Tilney Smith & Williamson|Smith & Williamson,Wealth manager,United Kingdom,evelyn.com
Brooks Macdonald,Brooks Macdonald Group,Wealth manager,United Kingdom,brooksmacdonald.com
Investec Wealth,Investec Wealth & Investment|Rathbones Investec,Wealth manager,United Kingdom,investec.com
Canaccord Genuity,Canaccord|Canaccord Genuity Wealth,Wealth manager,United Kingdom,canaccordgenuity.com
Tilney,Tilney Group,Wealth manager,United Kingdom,tilney.co.uk
Close Brothers,Close Brothers Group|Close Brothers Asset Management,Wealth manager,United Kingdom,closebrothers.com
M&G,M&G plc|M&G Investments|Prudential M&G,Wealth manager,United Kingdom,mandg.com
Jupiter Asset Management,Jupiter|Jupiter Fund Management,Wealth manager,United Kingdom,jupiteram.com
Liontrust,Liontrust Asset Management,Wealth manager,United Kingdom,liontrust.co.uk
Man Group,Man Group plc|AHL|Man AHL,Wealth manager,United Kingdom,man.com
Ninety One,Investec Asset Management,Wealth manager,United Kingdom,ninetyone.com
Baillie Gifford,Baillie Gifford & Co,Wealth manager,United Kingdom,bailliegifford.com
Legal & General,L&G|Legal and General|LGIM,Wealth manager,United Kingdom,legalandgeneral.com
Aviva Investors,Aviva,Wealth manager,United Kingdom,avivainvestors.com
BlackRock,BlackRock Inc|iShares,Wealth manager,USA,blackrock.com
Amundi,Amundi Asset Management,Wealth manager,France,amundi.com
Allianz Global Investors,AllianzGI|AGI,Wealth manager,Germany,allianzgi.com
Pictet,Pictet Group|Banque Pictet,Wealth manager,Switzerland,pictet.com
Lombard Odier,Bank Lombard Odier,Wealth manager,Switzerland,lombardodier.com
Fidelity International,Fidelity|FIL|Fidelity Investments,Wealth manager,United Kingdom,fidelity.co.uk
Vanguard,The Vanguard Group,Wealth manager,USA,vanguard.com
Royal London,Royal London Asset Management|RLAM,Wealth manager,United Kingdom,royallondon.com
Columbia Threadneedle,Threadneedle|Columbia Threadneedle Investments,Wealth manager,United Kingdom,columbiathreadneedle.com
Janus Henderson,Henderson|Janus Henderson Investors,Wealth manager,United Kingdom,janushenderson.com
Hargreaves Lansdown,HL|Hargreaves Lansdown plc,Broker,United Kingdom,hl.co.uk
AJ Bell,AJ Bell Youinvest|AJBell,Broker,United Kingdom,ajbell.co.uk
interactive investor,ii|Interactive Investor,Broker,United Kingdom,ii.co.uk
IG Group,IG|IG Index|IG Markets,Broker,United Kingdom,ig.com
CMC Markets,CMC,Broker,United Kingdom,cmcmarkets.com
Plus500,Plus 500,Broker,Israel,plus500.com
Saxo Bank,Saxo|Saxo Markets,Broker,Denmark,home.saxo
Freetrade,Freetrade Ltd,Broker,United Kingdom,freetrade.io
Trading 212,Trading212,Broker,United Kingdom,trading212.com
DEGIRO,Degiro|flatexDEGIRO,Broker,Netherlands,degiro.com
Webull,Webull Financial,Broker,USA,webull.com
Tastytrade,tastyworks|Tastytrade Inc,Broker,USA,tastytrade.com
Swissquote,Swissquote Group,Broker,Switzerland,swissquote.com
Flatex,flatexDEGIRO AG,Broker,Germany,flatex.de
Lightyear,Lightyear Financial,Broker,Estonia,lightyear.com
Wealthify,Wealthify Ltd,Broker,United Kingdom,wealthify.com
Nutmeg,Nutmeg Saving and Investment|JPMorgan Nutmeg,Broker,United Kingdom,nutmeg.com
Moneyfarm,MoneyFarm,Broker,United Kingdom,moneyfarm.com
Vanguard Investor UK,Vanguard UK,Broker,United Kingdom,vanguardinvestor.co.uk
Halifax Share Dealing,Halifax Sharedealing,Broker,United Kingdom,halifax.co.uk
London Stock Exchange Group,LSEG|LSE|London Stock Exchange,Exchange,United Kingdom,lseg.com
New York Stock Exchange,NYSE|NYSE Group|ICE NYSE,Exchange,USA,nyse.com
Cboe Global Markets,Cboe|CBOE|Chicago Board Options Exchange,Exchange,USA,cboe.com
Japan Exchange Group,JPX|Tokyo Stock Exchange|TSE,Exchange,Japan,jpx.co.jp
Hong Kong Exchanges and Clearing,HKEX|Hong Kong Stock Exchange|HKEx,Exchange,Hong Kong,hkex.com.hk
Borsa Italiana,Italian Stock Exchange,Exchange,Italy,borsaitaliana.it
